"tensor(3.7278, grad_fn=<DivBackward0>)"
"tensor(3.4483, grad_fn=<DivBackward0>)"
"tensor(3.1712, grad_fn=<DivBackward0>)"
"tensor(2.9240, grad_fn=<DivBackward0>)"
"tensor(2.7239, grad_fn=<DivBackward0>)"
"tensor(2.5224, grad_fn=<DivBackward0>)"
"tensor(2.3797, grad_fn=<DivBackward0>)"
"tensor(2.2483, grad_fn=<DivBackward0>)"
"tensor(2.1348, grad_fn=<DivBackward0>)"
"tensor(2.0596, grad_fn=<DivBackward0>)"
